seq,name,n,cpu_ms,gpu_ms,kind
241,FIRST_APP_CALLDATA#241,4,0.000,19.000,cpu-wins
242,FIRST_APP_CALLDATA_READ_COUNTS#242,4,0.000,20.000,cpu-wins
243,SECOND_APP_CALLDATA#243,4,0.000,20.000,cpu-wins
244,SECOND_APP_CALLDATA_READ_COUNTS#244,4,0.000,19.000,cpu-wins
245,THIRD_APP_CALLDATA#245,4,0.000,19.000,cpu-wins
246,THIRD_APP_CALLDATA_READ_COUNTS#246,4,0.000,22.000,cpu-wins
247,RETURN_DATA#247,2888,2.000,11.000,cpu-wins
248,RETURN_DATA_READ_COUNTS#248,2888,0.000,18.000,cpu-wins
249,LOOKUP_READ_COUNTS#249,3581,0.000,16.000,cpu-wins
250,LOOKUP_READ_TAGS#250,3581,0.000,8.000,cpu-wins
251,W_4#251,87312,47.000,53.000,cpu-wins
252,LOOKUP_INVERSES#252,3581,0.000,7.000,cpu-wins
253,KERNEL_CALLDATA_INVERSES#253,3581,3.000,14.000,cpu-wins
254,FIRST_APP_CALLDATA_INVERSES#254,3581,0.000,8.000,cpu-wins
255,SECOND_APP_CALLDATA_INVERSES#255,3581,1.000,7.000,cpu-wins
256,THIRD_APP_CALLDATA_INVERSES#256,3581,0.000,6.000,cpu-wins
257,RETURN_DATA_INVERSES#257,3581,13.000,21.000,cpu-wins
258,Z_PERM#258,87312,84.000,53.000,gpu-wins
259,?#259,62,1.000,0.000,gpu-missing
260,?#260,5,1.000,0.000,gpu-missing
261,W_L#261,30240,23.000,26.000,cpu-wins
262,W_R#262,30240,22.000,22.000,cpu-wins
263,W_O#263,30240,22.000,15.000,gpu-wins
264,ECC_OP_WIRE_1#264,145,1.000,6.000,cpu-wins
265,ECC_OP_WIRE_2#265,145,2.000,8.000,cpu-wins
266,ECC_OP_WIRE_3#266,145,1.000,8.000,cpu-wins
267,ECC_OP_WIRE_4#267,145,1.000,8.000,cpu-wins
268,KERNEL_CALLDATA#268,2888,1.000,7.000,cpu-wins
269,KERNEL_CALLDATA_READ_COUNTS#269,2888,0.000,6.000,cpu-wins
270,FIRST_APP_CALLDATA#270,4,1.000,11.000,cpu-wins
271,FIRST_APP_CALLDATA_READ_COUNTS#271,4,0.000,14.000,cpu-wins
272,SECOND_APP_CALLDATA#272,4,0.000,14.000,cpu-wins
273,SECOND_APP_CALLDATA_READ_COUNTS#273,4,0.000,15.000,cpu-wins
274,THIRD_APP_CALLDATA#274,4,0.000,14.000,cpu-wins
275,THIRD_APP_CALLDATA_READ_COUNTS#275,4,0.000,15.000,cpu-wins
276,RETURN_DATA#276,1285,2.000,14.000,cpu-wins
277,RETURN_DATA_READ_COUNTS#277,1285,0.000,11.000,cpu-wins
278,LOOKUP_READ_COUNTS#278,1557,0.000,12.000,cpu-wins
