seq,name,n,cpu_ms,gpu_ms,kind
54,RETURN_DATA_INVERSES#54,3089,13.000,31.000,cpu-wins
55,Z_PERM#55,33050,46.000,45.000,gpu-wins
56,?#56,62,1.000,0.000,gpu-missing
57,?#57,5,0.000,0.000,gpu-missing
58,W_L#58,5490,2.000,23.000,cpu-wins
59,W_R#59,5490,2.000,20.000,cpu-wins
60,W_O#60,5490,2.000,12.000,cpu-wins
61,ECC_OP_WIRE_1#61,1,0.000,21.000,cpu-wins
62,ECC_OP_WIRE_2#62,1,0.000,19.000,cpu-wins
63,ECC_OP_WIRE_3#63,1,0.000,26.000,cpu-wins
64,ECC_OP_WIRE_4#64,1,0.000,21.000,cpu-wins
65,KERNEL_CALLDATA#65,4,0.000,22.000,cpu-wins
66,KERNEL_CALLDATA_READ_COUNTS#66,4,0.000,21.000,cpu-wins
67,FIRST_APP_CALLDATA#67,4,0.000,21.000,cpu-wins
68,FIRST_APP_CALLDATA_READ_COUNTS#68,4,0.000,21.000,cpu-wins
69,SECOND_APP_CALLDATA#69,4,0.000,21.000,cpu-wins
70,SECOND_APP_CALLDATA_READ_COUNTS#70,4,0.000,18.000,cpu-wins
71,THIRD_APP_CALLDATA#71,4,0.000,18.000,cpu-wins
72,THIRD_APP_CALLDATA_READ_COUNTS#72,4,0.000,18.000,cpu-wins
73,RETURN_DATA#73,874,1.000,8.000,cpu-wins
74,RETURN_DATA_READ_COUNTS#74,874,1.000,13.000,cpu-wins
75,LOOKUP_READ_COUNTS#75,871,0.000,13.000,cpu-wins
76,LOOKUP_READ_TAGS#76,871,1.000,7.000,cpu-wins
77,W_4#77,5490,1.000,15.000,cpu-wins
78,LOOKUP_INVERSES#78,871,0.000,9.000,cpu-wins
79,KERNEL_CALLDATA_INVERSES#79,871,0.000,7.000,cpu-wins
80,FIRST_APP_CALLDATA_INVERSES#80,871,1.000,7.000,cpu-wins
81,SECOND_APP_CALLDATA_INVERSES#81,871,0.000,7.000,cpu-wins
82,THIRD_APP_CALLDATA_INVERSES#82,871,0.000,7.000,cpu-wins
83,RETURN_DATA_INVERSES#83,874,7.000,15.000,cpu-wins
84,Z_PERM#84,5490,18.000,20.000,cpu-wins
85,?#85,62,1.000,0.000,gpu-missing
86,?#86,5,0.000,0.000,gpu-missing
87,W_L#87,71364,36.000,50.000,cpu-wins
88,W_R#88,71364,38.000,29.000,gpu-wins
89,W_O#89,71364,41.000,30.000,gpu-wins
90,ECC_OP_WIRE_1#90,299,2.000,13.000,cpu-wins
91,ECC_OP_WIRE_2#91,299,3.000,10.000,cpu-wins
92,ECC_OP_WIRE_3#92,299,2.000,7.000,cpu-wins
93,ECC_OP_WIRE_4#93,299,1.000,9.000,cpu-wins
94,KERNEL_CALLDATA#94,2888,1.000,12.000,cpu-wins
95,KERNEL_CALLDATA_READ_COUNTS#95,2888,1.000,8.000,cpu-wins
96,FIRST_APP_CALLDATA#96,874,0.000,7.000,cpu-wins
97,FIRST_APP_CALLDATA_READ_COUNTS#97,874,0.000,6.000,cpu-wins
98,SECOND_APP_CALLDATA#98,4,0.000,11.000,cpu-wins
99,SECOND_APP_CALLDATA_READ_COUNTS#99,4,0.000,12.000,cpu-wins
100,THIRD_APP_CALLDATA#100,4,0.000,12.000,cpu-wins
101,THIRD_APP_CALLDATA_READ_COUNTS#101,4,0.000,12.000,cpu-wins
102,RETURN_DATA#102,2888,1.000,7.000,cpu-wins
103,RETURN_DATA_READ_COUNTS#103,2888,1.000,11.000,cpu-wins
104,LOOKUP_READ_COUNTS#104,3192,0.000,10.000,cpu-wins
105,LOOKUP_READ_TAGS#105,3192,0.000,6.000,cpu-wins
106,W_4#106,71364,39.000,29.000,gpu-wins
107,LOOKUP_INVERSES#107,3192,0.000,6.000,cpu-wins
108,KERNEL_CALLDATA_INVERSES#108,3192,1.000,6.000,cpu-wins
109,FIRST_APP_CALLDATA_INVERSES#109,3192,0.000,6.000,cpu-wins
110,SECOND_APP_CALLDATA_INVERSES#110,3192,0.000,6.000,cpu-wins
111,THIRD_APP_CALLDATA_INVERSES#111,3192,0.000,6.000,cpu-wins
112,RETURN_DATA_INVERSES#112,3192,13.000,13.000,cpu-wins
113,Z_PERM#113,71364,76.000,36.000,gpu-wins
114,?#114,62,1.000,0.000,gpu-missing
115,?#115,5,0.000,0.000,gpu-missing
116,W_L#116,20406,13.000,31.000,cpu-wins
117,W_R#117,20406,16.000,14.000,gpu-wins
118,W_O#118,20406,15.000,14.000,gpu-wins
119,ECC_OP_WIRE_1#119,1,0.000,14.000,cpu-wins
120,ECC_OP_WIRE_2#120,1,0.000,13.000,cpu-wins
121,ECC_OP_WIRE_3#121,1,0.000,10.000,cpu-wins
122,ECC_OP_WIRE_4#122,1,1.000,11.000,cpu-wins
123,KERNEL_CALLDATA#123,4,0.000,11.000,cpu-wins
124,KERNEL_CALLDATA_READ_COUNTS#124,4,0.000,12.000,cpu-wins
125,FIRST_APP_CALLDATA#125,4,0.000,12.000,cpu-wins
126,FIRST_APP_CALLDATA_READ_COUNTS#126,4,0.000,13.000,cpu-wins
127,SECOND_APP_CALLDATA#127,4,0.000,13.000,cpu-wins
128,SECOND_APP_CALLDATA_READ_COUNTS#128,4,0.000,13.000,cpu-wins
129,THIRD_APP_CALLDATA#129,4,0.000,13.000,cpu-wins
130,THIRD_APP_CALLDATA_READ_COUNTS#130,4,0.000,13.000,cpu-wins
131,RETURN_DATA#131,874,2.000,8.000,cpu-wins
132,RETURN_DATA_READ_COUNTS#132,874,0.000,9.000,cpu-wins
133,LOOKUP_READ_COUNTS#133,871,0.000,10.000,cpu-wins
134,LOOKUP_READ_TAGS#134,871,1.000,7.000,cpu-wins
135,W_4#135,20406,17.000,18.000,cpu-wins
136,LOOKUP_INVERSES#136,871,0.000,7.000,cpu-wins
137,KERNEL_CALLDATA_INVERSES#137,871,0.000,7.000,cpu-wins
138,FIRST_APP_CALLDATA_INVERSES#138,871,1.000,6.000,cpu-wins
139,SECOND_APP_CALLDATA_INVERSES#139,871,0.000,9.000,cpu-wins
140,THIRD_APP_CALLDATA_INVERSES#140,871,0.000,7.000,cpu-wins
141,RETURN_DATA_INVERSES#141,874,5.000,13.000,cpu-wins
142,Z_PERM#142,20406,31.000,26.000,gpu-wins
143,?#143,62,1.000,0.000,gpu-missing
144,?#144,5,0.000,0.000,gpu-missing
145,W_L#145,71364,38.000,42.000,cpu-wins
146,W_R#146,71364,40.000,24.000,gpu-wins
147,W_O#147,71364,34.000,23.000,gpu-wins
148,ECC_OP_WIRE_1#148,299,2.000,11.000,cpu-wins
149,ECC_OP_WIRE_2#149,299,1.000,7.000,cpu-wins
150,ECC_OP_WIRE_3#150,299,1.000,7.000,cpu-wins
151,ECC_OP_WIRE_4#151,299,2.000,7.000,cpu-wins
